,Project Type,Project Size (sqft),Budget (INR),Number of Workers,Subcontractors Involved,Number of Tasks,Task Completion Percentage,Number of Delays,Weather Conditions,Material Availability,Permits/Regulatory Approvals,Change Orders,Site Location,Project Complexity (1-10),Project Manager Experience (years),Contract Type,Risk Factors,Previous Similar Project Performance (days)
243,Commercial,42183,62027809,6,8,49,64,4,Moderate,No,3,0,Hyderabad,5,20,Fixed price,High,440
244,Industrial,46231,21959476,35,6,28,37,5,Adverse,Yes,4,3,Hyderabad,5,8,Time and materials,Low,449
245,Commercial,8501,79108296,76,5,29,98,3,Favorable,No,2,0,Hyderabad,9,13,Fixed price,High,687
246,Educational,13834,7141486,90,10,11,18,1,Moderate,Yes,2,6,Delhi,10,3,Time and materials,Low,144
247,Commercial,30569,45570569,98,8,31,64,1,Favorable,Yes,4,0,Banglore,9,10,Fixed price,High,742
248,Infrastructure,2303,8844397,65,9,17,65,2,Adverse,No,2,4,Mumbai,2,5,Fixed price,High,266
249,Residential,39767,74883015,9,5,18,80,3,Adverse,Yes,3,6,Delhi,5,8,Time and materials,Low,135
250,Infrastructure,40584,49049016,68,1,17,98,3,Favorable,Yes,4,8,Mumbai,4,12,Fixed price,Medium,370
251,Residential,5303,75020629,15,8,23,73,0,Moderate,Yes,2,9,Hyderabad,3,19,Fixed price,High,186
252,Educational,42412,27700586,56,3,21,64,3,Moderate,No,5,8,Kolkata,7,14,Fixed price,High,585
253,Infrastructure,44922,76586341,62,4,42,34,2,Moderate,No,2,2,Chennai,2,18,Fixed price,Medium,155
254,Industrial,21413,61687094,98,2,21,91,4,Adverse,Yes,4,2,Mumbai,9,7,Time and materials,Low,385
255,Educational,40320,45698887,58,8,46,40,1,Adverse,No,3,4,Hyderabad,3,18,Fixed price,Medium,840
256,Industrial,42131,34054319,14,5,37,38,2,Favorable,Yes,1,2,Banglore,1,15,Time and materials,Low,992
257,Residential,37110,7427255,17,6,49,88,4,Adverse,Yes,4,4,Chennai,1,18,Time and materials,Medium,272
258,Commercial,30894,61544168,74,1,25,52,5,Favorable,Yes,4,4,Hyderabad,10,9,Time and materials,Medium,660
259,Industrial,32683,79148966,76,8,16,86,2,Favorable,No,2,9,Kolkata,4,17,Time and materials,High,953
260,Residential,34294,63542891,89,5,12,96,5,Moderate,Yes,3,10,Pune,1,20,Fixed price,Medium,840
261,Educational,11645,24414118,74,4,22,19,4,Favorable,Yes,5,5,Hyderabad,5,11,Fixed price,Medium,685
262,Commercial,10699,76895267,91,9,21,80,2,Moderate,Yes,3,10,Chennai,7,10,Time and materials,Low,190
263,Educational,13664,62154052,65,6,43,31,4,Adverse,No,2,9,Kolkata,10,1,Fixed price,High,357
264,Infrastructure,31102,46815071,97,6,47,84,0,Adverse,Yes,3,10,Pune,6,5,Fixed price,Medium,472
265,Educational,46979,16009206,57,3,21,74,3,Moderate,No,2,2,Delhi,8,6,Time and materials,Low,204
266,Infrastructure,11228,65336023,58,9,8,28,5,Moderate,No,2,1,Kolkata,4,8,Time and materials,Low,558
267,Infrastructure,5710,54027024,14,7,38,77,1,Adverse,Yes,4,7,Hyderabad,3,13,Time and materials,High,318
268,Residential,31270,20013043,46,1,23,92,2,Adverse,No,3,1,Mumbai,1,5,Time and materials,Low,711
269,Infrastructure,19252,24769856,64,6,37,18,3,Favorable,No,3,0,Chennai,10,18,Fixed price,High,991
270,Commercial,40235,46665837,67,9,35,77,1,Favorable,No,1,10,Mumbai,6,5,Time and materials,Medium,778
271,Infrastructure,5484,14204371,46,10,24,52,0,Adverse,No,2,1,Delhi,9,11,Time and materials,High,601
272,Educational,43345,78227085,89,7,5,84,2,Moderate,Yes,1,8,Delhi,7,17,Time and materials,High,749
273,Educational,40215,47736786,55,8,38,48,2,Moderate,No,2,5,Banglore,3,11,Time and materials,High,902
274,Industrial,17891,37861031,19,10,20,77,0,Moderate,No,1,2,Kolkata,2,9,Fixed price,Low,207
275,Industrial,23325,9045921,19,8,30,71,0,Favorable,No,2,2,Hyderabad,1,3,Time and materials,Medium,809
276,Industrial,21388,68725494,73,1,42,47,3,Adverse,No,2,1,Mumbai,4,2,Time and materials,Low,396
277,Commercial,28154,69333635,12,10,6,30,3,Adverse,Yes,5,9,Kolkata,6,4,Fixed price,High,954
278,Infrastructure,34776,63502636,7,6,18,0,3,Adverse,No,4,9,Chennai,5,11,Time and materials,Medium,775
279,Infrastructure,24997,44262240,88,2,43,17,5,Moderate,No,2,7,Delhi,8,2,Time and materials,Medium,779
280,Industrial,30716,12913970,30,8,8,24,1,Favorable,Yes,3,2,Hyderabad,1,18,Time and materials,Medium,339
281,Industrial,13987,12389161,77,1,47,87,3,Adverse,No,1,3,Chennai,6,6,Fixed price,Medium,788
282,Industrial,8973,31641592,64,10,19,88,0,Favorable,Yes,3,3,Hyderabad,8,19,Fixed price,High,278
283,Educational,17336,81001360,31,3,26,77,2,Favorable,No,5,7,Kolkata,8,4,Time and materials,High,667
284,Commercial,48142,16591368,81,6,18,40,4,Adverse,Yes,2,1,Banglore,2,6,Fixed price,High,653
285,Educational,38839,51673725,12,9,13,57,5,Favorable,No,2,2,Pune,3,2,Fixed price,Low,831
286,Residential,33882,37519818,96,6,34,0,3,Adverse,No,4,1,Mumbai,7,5,Fixed price,Medium,714
287,Educational,25823,17265577,54,5,39,99,1,Adverse,Yes,2,2,Chennai,1,4,Time and materials,High,597
288,Industrial,29222,33646457,43,1,34,64,5,Favorable,Yes,5,0,Kolkata,2,2,Time and materials,Low,914
289,Residential,15525,23600137,85,6,21,87,1,Adverse,Yes,1,0,Banglore,8,12,Time and materials,Low,599
290,Commercial,41171,41668739,10,7,43,10,0,Adverse,No,5,8,Chennai,6,8,Fixed price,High,110
291,Commercial,16608,60263893,92,9,43,90,3,Moderate,Yes,1,2,Mumbai,6,14,Fixed price,Medium,109
292,Industrial,30748,53842764,16,5,30,47,1,Adverse,No,3,9,Chennai,8,6,Time and materials,Medium,644
293,Commercial,9536,76987812,61,6,47,29,1,Moderate,Yes,5,1,Kolkata,5,1,Fixed price,Low,247
294,Commercial,17544,40966061,7,8,45,93,5,Adverse,Yes,1,8,Banglore,6,17,Time and materials,Medium,683
295,Industrial,15823,34124039,60,8,41,68,5,Adverse,Yes,4,0,Chennai,7,9,Time and materials,High,837
296,Residential,7546,50547498,38,2,32,7,2,Favorable,Yes,3,8,Hyderabad,4,20,Fixed price,Low,416
297,Industrial,35868,62299219,79,2,30,65,1,Moderate,No,2,6,Delhi,4,1,Fixed price,High,152
298,Commercial,40446,60441928,97,6,11,94,0,Favorable,Yes,1,1,Kolkata,9,5,Fixed price,Low,996
299,Educational,27472,75483769,82,3,23,47,3,Favorable,Yes,4,5,Chennai,1,2,Fixed price,High,241
300,Infrastructure,561,41125255,69,1,39,21,0,Favorable,Yes,4,8,Banglore,5,9,Fixed price,High,616
301,Industrial,8164,74866166,73,6,39,27,5,Adverse,Yes,2,4,Kolkata,5,9,Time and materials,High,264
302,Commercial,25864,21811736,74,3,46,90,4,Favorable,No,2,6,Hyderabad,7,1,Time and materials,High,416
303,Infrastructure,43871,5085908,77,4,9,5,0,Favorable,Yes,2,10,Delhi,6,15,Fixed price,Medium,195
304,Educational,46408,13325484,56,2,46,7,0,Moderate,Yes,2,2,Chennai,6,12,Fixed price,Medium,627
305,Infrastructure,1525,55667187,32,9,35,38,5,Adverse,No,3,9,Delhi,8,3,Fixed price,Low,573
306,Residential,7483,4314174,52,8,17,100,3,Adverse,No,2,0,Hyderabad,7,2,Time and materials,High,502
307,Infrastructure,30198,71069497,89,9,35,12,5,Favorable,No,4,10,Banglore,4,10,Time and materials,Medium,792
308,Residential,40987,35423653,26,6,13,2,3,Adverse,Yes,3,0,Kolkata,2,7,Time and materials,Medium,485
309,Residential,48712,22862516,96,7,12,91,2,Favorable,Yes,4,4,Mumbai,8,8,Time and materials,Medium,616
310,Industrial,47849,26761773,13,1,45,87,5,Favorable,Yes,5,9,Chennai,6,20,Fixed price,High,922
311,Residential,12649,30925966,83,5,28,35,4,Adverse,No,2,8,Pune,9,10,Time and materials,Low,566
312,Industrial,39891,55094570,81,6,26,75,1,Favorable,Yes,2,10,Mumbai,5,9,Fixed price,Medium,779
313,Industrial,2563,13862660,96,6,45,64,3,Moderate,Yes,4,7,Pune,6,18,Time and materials,Medium,221
314,Infrastructure,20841,82129828,42,2,5,38,1,Favorable,No,4,8,Banglore,7,7,Time and materials,Low,832
315,Commercial,2657,35222544,100,4,18,79,1,Adverse,Yes,2,7,Chennai,7,5,Fixed price,Medium,932
316,Infrastructure,9968,64619899,93,10,11,30,4,Favorable,Yes,1,1,Hyderabad,8,3,Fixed price,Medium,243
317,Residential,46083,54013246,62,3,27,55,2,Adverse,No,1,0,Hyderabad,5,8,Fixed price,Medium,617
318,Residential,27628,38333799,27,7,20,41,4,Adverse,Yes,4,5,Mumbai,6,10,Fixed price,Low,706
319,Commercial,34390,47040499,62,1,14,100,2,Adverse,Yes,5,2,Banglore,4,16,Time and materials,High,609
320,Residential,33927,12544205,60,4,27,69,0,Adverse,No,2,3,Mumbai,6,8,Time and materials,High,495
321,Infrastructure,33496,34354032,45,7,22,65,1,Moderate,No,4,3,Chennai,5,14,Time and materials,High,857
322,Residential,42248,55096728,9,8,49,40,5,Adverse,Yes,1,3,Banglore,10,6,Fixed price,High,166
323,Industrial,11586,68108140,85,7,7,72,1,Favorable,Yes,4,3,Banglore,10,11,Fixed price,Low,511
324,Residential,7528,37741345,35,10,9,9,2,Adverse,No,4,7,Chennai,7,6,Fixed price,High,949
325,Commercial,22264,40317167,32,8,24,38,3,Favorable,No,4,3,Mumbai,8,18,Time and materials,High,933
326,Commercial,35647,55482180,60,4,26,3,4,Adverse,No,4,3,Chennai,8,5,Fixed price,Medium,987
327,Industrial,31443,58799773,17,3,26,36,2,Adverse,Yes,3,4,Banglore,7,7,Fixed price,High,587
328,Educational,45378,52061584,89,8,5,36,3,Favorable,Yes,2,2,Pune,2,3,Time and materials,Low,536
329,Industrial,10903,15225520,76,10,38,32,3,Adverse,Yes,5,4,Mumbai,8,20,Fixed price,High,851
330,Educational,36103,40358086,42,10,32,13,2,Favorable,Yes,3,5,Pune,3,3,Fixed price,Low,486
331,Infrastructure,33994,77871596,72,1,38,47,3,Favorable,No,1,9,Hyderabad,6,13,Time and materials,Low,914
332,Residential,11162,6869329,12,8,40,12,1,Favorable,Yes,2,7,Hyderabad,3,13,Fixed price,Low,254
333,Residential,12671,8952463,16,5,10,50,5,Moderate,Yes,1,7,Kolkata,5,20,Fixed price,Low,462
334,Industrial,46266,11297877,12,8,48,49,4,Moderate,No,5,10,Chennai,10,5,Fixed price,Low,454
335,Industrial,33237,73525633,51,6,20,68,2,Favorable,Yes,1,7,Pune,3,16,Fixed price,Low,594
336,Commercial,3674,60086937,52,6,30,2,0,Moderate,No,5,4,Chennai,3,11,Time and materials,High,323
337,Residential,23416,12497061,14,1,38,94,4,Moderate,No,2,2,Kolkata,1,18,Fixed price,High,603
338,Industrial,35181,73300288,58,7,22,48,4,Favorable,Yes,5,7,Kolkata,3,6,Fixed price,Medium,353
339,Residential,10385,68811565,91,6,32,32,3,Moderate,No,5,8,Banglore,3,15,Time and materials,Medium,738
340,Residential,33026,54794774,41,7,20,25,2,Moderate,Yes,2,6,Delhi,10,1,Time and materials,Medium,218
341,Commercial,26346,74644390,40,9,29,66,3,Moderate,No,3,4,Banglore,7,2,Time and materials,Low,671
342,Residential,25559,44811202,11,2,42,4,3,Moderate,No,3,0,Hyderabad,4,20,Fixed price,Medium,194
343,Commercial,17863,5740031,94,5,41,73,2,Favorable,Yes,5,8,Delhi,7,7,Fixed price,Low,509
344,Infrastructure,28109,31460652,72,6,8,74,3,Adverse,No,1,10,Hyderabad,7,5,Time and materials,High,151
345,Infrastructure,2090,55406567,16,4,24,82,3,Moderate,No,3,1,Chennai,4,1,Fixed price,Medium,592
346,Industrial,35161,38576491,81,4,25,37,5,Moderate,No,5,5,Hyderabad,5,7,Fixed price,High,580
347,Industrial,23919,58964943,5,6,7,37,2,Adverse,No,5,9,Kolkata,2,18,Fixed price,Low,822
348,Industrial,7417,17121489,32,3,6,43,3,Adverse,Yes,5,3,Delhi,7,17,Time and materials,High,550
349,Infrastructure,14722,28874040,47,10,42,24,5,Adverse,No,2,2,Pune,8,5,Time and materials,Low,133
350,Residential,38176,32228153,28,10,30,72,1,Moderate,Yes,4,6,Delhi,8,7,Time and materials,Low,488
351,Educational,3985,37042319,29,5,29,62,1,Adverse,Yes,2,6,Chennai,9,8,Fixed price,High,704
352,Infrastructure,44386,8244722,90,10,36,32,0,Adverse,No,5,2,Hyderabad,3,16,Time and materials,Medium,804
353,Educational,49799,35275913,46,2,13,77,0,Favorable,No,5,10,Kolkata,5,4,Fixed price,Low,715
354,Residential,16791,75614162,26,2,26,12,3,Moderate,Yes,3,9,Pune,3,14,Time and materials,High,119
355,Residential,6186,66275998,29,4,22,91,3,Adverse,Yes,2,5,Mumbai,4,14,Fixed price,Low,426
356,Residential,33095,7495149,63,5,15,9,4,Moderate,Yes,2,3,Kolkata,7,17,Time and materials,Low,563
357,Industrial,5983,51959826,50,4,28,20,1,Moderate,Yes,3,1,Delhi,1,6,Fixed price,Medium,215
358,Educational,15440,57923708,84,10,14,2,2,Adverse,Yes,3,0,Hyderabad,3,16,Fixed price,Medium,148
359,Infrastructure,47439,46065083,79,2,21,24,3,Adverse,Yes,2,9,Mumbai,1,3,Fixed price,High,345
360,Residential,35013,24236166,75,6,35,71,5,Adverse,No,2,9,Mumbai,8,5,Time and materials,High,495
361,Industrial,6168,31559837,84,5,33,88,5,Adverse,Yes,1,6,Delhi,7,9,Fixed price,High,540
362,Commercial,32043,11257456,77,6,41,82,4,Favorable,Yes,4,5,Delhi,8,10,Time and materials,Low,294
363,Infrastructure,27727,34912788,30,9,46,15,0,Moderate,No,2,10,Chennai,6,11,Fixed price,Low,856
364,Educational,15930,8037388,39,3,49,79,4,Adverse,Yes,3,9,Pune,3,16,Fixed price,High,836
365,Infrastructure,43819,27599409,46,9,31,8,1,Adverse,Yes,5,0,Banglore,7,10,Fixed price,Medium,383
366,Educational,9808,61501340,79,4,19,76,2,Adverse,Yes,2,5,Banglore,7,5,Time and materials,Medium,471
367,Residential,8423,42907182,33,9,27,50,1,Adverse,No,2,4,Kolkata,3,10,Fixed price,Low,126
368,Infrastructure,44586,20549472,34,9,5,34,1,Favorable,Yes,3,5,Chennai,9,8,Time and materials,High,912
369,Residential,20549,66430129,48,9,8,26,3,Moderate,No,1,2,Pune,9,11,Time and materials,High,209
370,Residential,14947,35617043,36,5,38,89,1,Moderate,Yes,1,3,Pune,1,3,Time and materials,High,329
371,Educational,33814,75679317,68,4,16,31,1,Favorable,Yes,1,0,Pune,2,7,Time and materials,Medium,403
372,Educational,5682,20057780,41,4,11,46,3,Moderate,No,4,7,Mumbai,10,4,Time and materials,High,929
373,Industrial,46415,9682365,11,7,49,51,4,Adverse,No,5,2,Mumbai,6,17,Time and materials,High,848
374,Industrial,8788,6616511,55,8,7,74,3,Favorable,No,5,8,Delhi,1,13,Time and materials,High,502
375,Industrial,21141,81164621,8,7,44,99,5,Adverse,No,4,0,Chennai,5,6,Fixed price,Low,270
376,Industrial,43617,19624852,43,9,42,70,4,Favorable,Yes,5,1,Pune,7,15,Fixed price,Low,464
377,Commercial,29680,77155804,44,2,23,3,3,Adverse,No,4,4,Mumbai,1,2,Time and materials,Medium,463
378,Infrastructure,9343,18271122,69,4,24,1,1,Adverse,Yes,4,2,Mumbai,1,8,Time and materials,High,868
379,Educational,26010,35052062,73,5,11,88,3,Moderate,No,1,7,Pune,1,9,Fixed price,Low,582
380,Educational,48730,18315029,28,6,41,40,4,Adverse,Yes,5,9,Kolkata,9,8,Fixed price,High,295
381,Commercial,11083,15337819,89,7,11,8,1,Favorable,Yes,3,2,Pune,10,14,Time and materials,High,111
382,Infrastructure,49707,27533092,97,7,50,15,1,Favorable,Yes,5,6,Kolkata,4,16,Fixed price,Low,906
383,Educational,15713,82329526,40,5,8,45,4,Moderate,No,5,0,Delhi,7,9,Time and materials,Medium,597
384,Residential,29075,43360860,23,3,35,15,2,Adverse,No,1,7,Hyderabad,4,16,Time and materials,High,862
385,Infrastructure,26166,46847275,8,6,10,74,5,Moderate,Yes,4,8,Chennai,6,13,Fixed price,Medium,383
386,Residential,30805,23394214,35,7,45,27,0,Moderate,Yes,2,4,Delhi,5,19,Fixed price,Medium,472
387,Commercial,25030,62997913,88,3,35,59,3,Moderate,Yes,2,8,Kolkata,4,20,Fixed price,Medium,419
388,Industrial,42282,67511121,69,2,15,37,0,Adverse,No,2,5,Kolkata,7,18,Fixed price,Medium,257
389,Commercial,29992,33414389,100,1,13,99,3,Moderate,No,4,10,Delhi,1,11,Time and materials,Low,736
390,Educational,40274,78237128,18,4,30,90,0,Moderate,Yes,1,10,Mumbai,7,17,Time and materials,Medium,759
391,Educational,3613,46454851,33,9,12,59,5,Moderate,No,2,4,Pune,1,4,Fixed price,High,232
392,Residential,46953,25426718,9,3,50,64,3,Moderate,No,1,2,Banglore,7,9,Fixed price,High,416
393,Commercial,14201,27673362,15,10,30,54,5,Adverse,No,3,4,Chennai,2,9,Time and materials,Medium,522
394,Residential,29501,79631030,93,5,48,68,5,Favorable,Yes,4,6,Hyderabad,6,13,Time and materials,Low,582
395,Industrial,25844,15756969,93,6,20,38,2,Adverse,Yes,2,7,Delhi,10,12,Fixed price,Low,760
396,Industrial,30521,32754954,98,8,6,86,3,Moderate,Yes,3,8,Hyderabad,1,18,Fixed price,Medium,684
397,Infrastructure,38174,65593904,72,1,10,12,4,Moderate,Yes,2,5,Pune,3,3,Fixed price,Medium,865
398,Educational,17745,21760940,43,5,29,39,4,Adverse,No,1,1,Hyderabad,4,6,Fixed price,High,244
399,Commercial,10700,8945906,69,3,47,96,0,Moderate,No,5,8,Hyderabad,3,13,Time and materials,Low,846
400,Educational,13775,4854670,84,2,48,64,5,Adverse,No,3,7,Delhi,7,14,Fixed price,Medium,528
401,Commercial,48790,24880661,47,3,47,73,5,Moderate,No,1,1,Mumbai,2,13,Fixed price,Low,101
402,Industrial,19417,70333287,93,5,19,62,4,Moderate,Yes,4,0,Hyderabad,1,12,Time and materials,High,335
403,Educational,14895,46372017,62,10,41,81,1,Adverse,No,4,9,Pune,8,14,Time and materials,Low,305
404,Industrial,912,12657417,67,6,25,70,0,Adverse,Yes,4,5,Delhi,4,13,Time and materials,Medium,735
405,Industrial,37893,51087413,13,1,49,2,0,Favorable,No,5,9,Kolkata,5,20,Time and materials,High,825
406,Residential,42470,28739746,12,2,45,55,5,Moderate,No,5,10,Banglore,8,16,Fixed price,High,105
407,Infrastructure,17522,54930230,33,2,6,63,5,Moderate,Yes,1,3,Kolkata,8,14,Time and materials,Medium,481
408,Industrial,29230,57697450,10,4,38,79,0,Favorable,No,1,4,Chennai,6,5,Fixed price,High,783
409,Industrial,31426,45209685,67,2,18,60,4,Favorable,No,4,6,Delhi,7,4,Fixed price,Low,964
410,Infrastructure,34672,45590904,80,4,41,54,5,Adverse,No,3,1,Delhi,2,5,Time and materials,High,590
411,Educational,43018,80611177,86,6,19,13,4,Adverse,Yes,2,1,Pune,9,12,Time and materials,High,244
412,Educational,24936,14231512,32,1,50,82,5,Moderate,Yes,1,5,Banglore,10,10,Time and materials,Low,406
413,Educational,11452,52332247,48,4,42,0,2,Favorable,No,2,4,Delhi,8,19,Time and materials,High,300
414,Industrial,25403,65680224,57,8,31,33,5,Moderate,Yes,4,5,Hyderabad,1,13,Time and materials,Low,291
415,Infrastructure,12856,23138491,76,2,29,77,1,Moderate,No,1,0,Banglore,3,14,Time and materials,Low,816
416,Infrastructure,7752,82124350,65,2,9,57,5,Moderate,No,3,6,Pune,9,7,Time and materials,High,285
417,Educational,41360,60014312,92,5,12,11,3,Adverse,No,1,8,Hyderabad,3,8,Time and materials,High,933
418,Residential,26284,51460083,76,6,33,83,4,Adverse,No,4,2,Chennai,8,5,Time and materials,Low,473
419,Commercial,31865,21088723,67,2,30,48,0,Adverse,Yes,2,4,Hyderabad,8,4,Fixed price,High,541
420,Educational,39708,56332930,97,8,6,53,0,Moderate,Yes,2,3,Pune,8,18,Fixed price,Low,591
421,Commercial,28947,64528682,37,6,19,35,2,Moderate,No,4,10,Mumbai,1,18,Fixed price,Low,107
422,Residential,29420,26496090,57,7,8,68,0,Adverse,Yes,2,0,Kolkata,3,14,Fixed price,Low,469
423,Educational,39438,5884285,78,3,11,31,5,Adverse,Yes,1,8,Kolkata,4,10,Time and materials,Medium,653
424,Residential,31594,53493998,51,3,16,11,3,Favorable,Yes,3,5,Banglore,7,16,Fixed price,Low,235
425,Infrastructure,3580,18468330,75,3,6,28,4,Adverse,Yes,4,9,Kolkata,10,13,Time and materials,Low,951
426,Industrial,12935,29441262,45,4,40,14,4,Moderate,No,5,10,Kolkata,2,19,Time and materials,Low,324
427,Infrastructure,24894,14258487,43,9,31,48,0,Favorable,Yes,1,6,Banglore,6,14,Fixed price,Medium,740
428,Commercial,22448,50087097,25,2,14,50,1,Moderate,Yes,5,6,Kolkata,10,8,Fixed price,High,931
429,Educational,14354,45752422,69,3,35,75,4,Moderate,Yes,1,9,Mumbai,2,3,Fixed price,High,178
430,Commercial,4973,51930610,25,4,39,85,0,Favorable,No,3,2,Banglore,6,14,Fixed price,Medium,822
431,Educational,36662,44967491,72,10,14,35,2,Adverse,Yes,1,8,Pune,9,7,Fixed price,High,992
432,Commercial,49153,61292512,93,2,42,95,0,Moderate,Yes,5,0,Pune,6,10,Time and materials,Medium,559
433,Industrial,44405,76457110,44,8,9,64,1,Adverse,No,4,0,Delhi,7,4,Time and materials,Low,279
434,Residential,23736,25134143,36,2,31,18,1,Adverse,Yes,4,3,Pune,3,13,Fixed price,Medium,747
435,Industrial,2320,63101165,70,10,20,15,3,Moderate,Yes,4,7,Mumbai,1,7,Time and materials,Low,469
436,Industrial,3384,30455107,33,4,8,51,5,Favorable,Yes,5,6,Kolkata,3,9,Time and materials,Medium,288
437,Industrial,3962,46008726,30,9,44,35,2,Favorable,No,1,1,Delhi,3,14,Fixed price,Low,921
438,Educational,10694,8557632,35,1,47,19,4,Moderate,Yes,4,10,Mumbai,8,3,Fixed price,Low,100
439,Industrial,21895,31105578,72,6,30,51,4,Moderate,No,5,1,Pune,9,20,Time and materials,High,283
440,Infrastructure,41341,38379200,99,6,39,16,2,Moderate,Yes,4,10,Pune,5,17,Time and materials,Medium,329
441,Infrastructure,6666,44374622,97,5,29,0,0,Moderate,No,3,10,Banglore,10,16,Fixed price,High,853
442,Commercial,14283,77488551,65,8,14,86,0,Moderate,Yes,5,3,Chennai,3,1,Time and materials,Medium,662
443,Industrial,39377,8350713,27,7,34,71,2,Adverse,Yes,2,7,Pune,6,10,Time and materials,High,575
444,Residential,41457,65192848,41,7,39,93,1,Adverse,Yes,1,7,Pune,4,8,Time and materials,Low,340
445,Educational,17410,73927353,98,9,39,36,0,Moderate,No,3,9,Mumbai,10,20,Fixed price,Low,832
446,Infrastructure,48488,48345010,43,10,43,14,5,Moderate,Yes,2,3,Hyderabad,9,3,Fixed price,High,247
447,Industrial,8676,52385035,85,1,27,49,4,Moderate,Yes,1,8,Hyderabad,8,14,Time and materials,Medium,272
448,Residential,16550,20887863,26,9,32,68,4,Favorable,Yes,4,0,Kolkata,5,16,Fixed price,High,352
449,Industrial,27995,82378247,33,6,17,33,2,Favorable,Yes,3,4,Banglore,6,12,Fixed price,Medium,980
450,Residential,44596,39437118,91,3,49,61,4,Adverse,Yes,2,0,Mumbai,5,1,Fixed price,Medium,577
451,Industrial,29915,34766293,43,6,18,85,3,Moderate,No,4,7,Hyderabad,4,9,Time and materials,High,982
452,Infrastructure,23936,51083927,98,1,27,62,1,Favorable,No,3,3,Banglore,5,10,Time and materials,Low,314
453,Commercial,43673,48788479,68,3,50,38,0,Favorable,No,5,7,Hyderabad,5,8,Time and materials,High,948
454,Industrial,42383,47043653,95,5,12,40,5,Moderate,No,5,3,Banglore,9,15,Time and materials,Medium,890
455,Commercial,36509,46060601,78,8,36,29,5,Favorable,No,2,10,Mumbai,4,11,Fixed price,Low,973
456,Educational,32977,58961125,89,2,33,1,1,Favorable,Yes,4,8,Pune,8,9,Time and materials,Medium,947
457,Commercial,46295,72887197,30,1,40,84,4,Moderate,No,2,0,Pune,4,10,Fixed price,High,211
458,Commercial,30732,71916014,38,1,40,97,0,Moderate,Yes,2,3,Hyderabad,1,11,Fixed price,High,375
